effect,component,group,term,estimate,std.error,statistic,p.value,lg.grp.ref,model
fixed,cond,NA,(Intercept),1.1603191854854509,0.18466745387401823,6.283290104151384,3.3148165772558587e-10,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.028595527990159294,0.09172286938204667,-0.3117600679395713,0.7552228736895988,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-2.0286516234631846,0.18972272657690709,-10.692718052630552,1.100963402755707e-26,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-3.541466596263005,0.3673270277880856,-9.641181640208925,5.356775329577222e-22,NA English,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.33444165500240935,0.043895071880302325,7.6191162396179655,2.5541837996904953e-14,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEUK_English,-0.14695514969970513,0.2669044706907886,-0.5505908137071038,0.5819142075720541,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEArg_Spanish,-0.13139141442941202,0.25436657805600166,-0.5165435468510517,0.6054748326756434,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNETseltal,0.017321835936413406,0.29061104759986384,0.05960487765166957,0.9524703334740595,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEYeli_Dnye,-0.9472843430194615,0.3188721729445933,-2.9707338030529873,0.0029708917019970566,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEUK_English,0.6451500870706386,0.3309934797583171,1.9491323138501415,0.05127962557362618,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEUK_English,1.1010110598589646,0.5102942428361916,2.157600394900786,0.030958913977241362,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEArg_Spanish,0.7034264705953865,0.3072349427527424,2.289539283171617,0.022048038183385212,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEArg_Spanish,1.5847599570101842,0.4548262693631732,3.484319318734804,4.93390462430302e-4,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNETseltal,0.13336761376283782,0.4093462170924652,0.3258063912502508,0.7445708428437996,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNETseltal,1.9110188459278339,0.48813709796077187,3.9149223730612848,9.043329854601101e-5,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEYeli_Dnye,0.7520333613345538,0.372878998565358,2.0168294922159253,0.04371331008514776,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEYeli_Dnye,2.807114128540253,0.4595093182995449,6.1089384191994816,1.0029601470556412e-9,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13372849983688795,0.13196873527271646,-1.0133347081074535,0.3109003145161616,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.2875015043498034,0.12242020719175903,2.348480785524738,0.018850171751843357,NA English,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.6686159138203647,1.9378520177312022,-1.3770999485010862,0.1684813486366611,NA English,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.5409075968453358,1.3967278876773148,-1.103226770539954,0.26992869851880436,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEUK_English,-14.313696755763367,1941.31718733618,-0.007373188085458725,0.9941171003656623,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEArg_Spanish,-1.849746893016469,9.439727132200963,-0.19595342822003617,0.8446466181302282,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNETseltal,0.4244519073305974,0.9125743402147083,0.4651148828387322,0.6418491885909752,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEYeli_Dnye,-1.4456138233849871,3.6065275478965315,-0.4008326026036113,0.68854337360148965,NA English,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3590998700089969,NA,NA,NA,NA English,TDS_random_z-inb
fixed,cond,NA,(Intercept),1.0430828896280682,0.19059497019940294,5.472772385004606,4.430490204311514e-8,UK English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.02569814068878105,0.0933503764447402,-0.27528695295613886,0.7830957874138377,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.3853061765069834,0.26079291964465506,-5.311901022445474,1.0848752492084282e-7,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-2.4360815119511967,0.3494938904936973,-6.970312151980604,3.162385194160574e-12,UK English,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.3346842255078365,0.04295934274938372,7.790720343658837,6.662823709853436e-15,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKNA_English,0.07651151745309043,0.21689773362489304,0.352753881630736,0.7242729609623961,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKArg_Spanish,0.040204445500447286,0.24190361843420313,0.16620026505053187,0.8679993508683266,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKTseltal,0.025563362582915576,0.2651446533790972,0.09641289106579011,0.9231926542298448,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKYeli_Dnye,-0.7437386893746053,0.2876926702124087,-2.5851847001367454,0.00973268446967077,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKNA_English,-0.6437465706789951,0.33167637084659757,-1.9408876460986484,0.052271906794427135,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKNA_English,-1.105535215617191,0.5096429537625371,-2.1692347700588512,0.030064864643522007,UK English,TDS_random_z-inb
